"daylabel","year","month","day","hour","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count"
1,2011,1,1,0,1,0,0,1,9.84,14.395,81,0,16
1,2011,1,1,1,1,0,0,1,9.02,13.635,80,0,40
1,2011,1,1,2,1,0,0,1,9.02,13.635,80,0,32
1,2011,1,1,3,1,0,0,1,9.84,14.395,75,0,13
1,2011,1,1,4,1,0,0,1,9.84,14.395,75,0,1
1,2011,1,1,5,1,0,0,2,9.84,12.88,75,6.0032,1
1,2011,1,1,6,1,0,0,1,9.02,13.635,80,0,2
1,2011,1,1,7,1,0,0,1,8.2,12.88,86,0,3
1,2011,1,1,8,1,0,0,1,9.84,14.395,75,0,8
1,2011,1,1,9,1,0,0,1,13.12,17.425,76,0,14
1,2011,1,1,10,1,0,0,1,15.58,19.695,76,16.9979,36
1,2011,1,1,11,1,0,0,1,14.76,16.665,81,19.0012,56
1,2011,1,1,12,1,0,0,1,17.22,21.21,77,19.0012,84
1,2011,1,1,13,1,0,0,2,18.86,22.725,72,19.9995,94
1,2011,1,1,14,1,0,0,2,18.86,22.725,72,19.0012,106
1,2011,1,1,15,1,0,0,2,18.04,21.97,77,19.9995,110
1,2011,1,1,16,1,0,0,2,17.22,21.21,82,19.9995,93
1,2011,1,1,17,1,0,0,2,18.04,21.97,82,19.0012,67
1,2011,1,1,18,1,0,0,3,17.22,21.21,88,16.9979,35
1,2011,1,1,19,1,0,0,3,17.22,21.21,88,16.9979,37
1,2011,1,1,20,1,0,0,2,16.4,20.455,87,16.9979,36
1,2011,1,1,21,1,0,0,2,16.4,20.455,87,12.998,34
1,2011,1,1,22,1,0,0,2,16.4,20.455,94,15.0013,28
1,2011,1,1,23,1,0,0,2,18.86,22.725,88,19.9995,39
2,2011,1,2,0,1,0,0,2,18.86,22.725,88,19.9995,17
2,2011,1,2,1,1,0,0,2,18.04,21.97,94,16.9979,17
2,2011,1,2,2,1,0,0,2,17.22,21.21,100,19.0012,9
2,2011,1,2,3,1,0,0,2,18.86,22.725,94,12.998,6
2,2011,1,2,4,1,0,0,2,18.86,22.725,94,12.998,3
2,2011,1,2,5,1,0,0,2.5,18.04,21.9675,85.5,16.49875,0
2,2011,1,2,6,1,0,0,3,17.22,21.21,77,19.9995,2
2,2011,1,2,7,1,0,0,2,16.4,20.455,76,12.998,1
2,2011,1,2,8,1,0,0,3,16.4,20.455,71,15.0013,8
2,2011,1,2,9,1,0,0,2,15.58,19.695,76,15.0013,20
2,2011,1,2,10,1,0,0,2,14.76,17.425,81,15.0013,53
2,2011,1,2,11,1,0,0,2,14.76,16.665,71,16.9979,70
2,2011,1,2,12,1,0,0,2,14.76,16.665,66,19.9995,93
